Estimated Overall Performance
-------------------------------
Samples/s:                                     5887.1
Compute Samples/s:                             5887.1
Transmission Samples/s:                        5897.5
Active PEs:                                    37%
Compute Utilization:                           72%
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
| Kernel Name                                                                               | Samples/s   | Compute Samples/s | Transmission Samples/s | Active PEs | Compute Utilization |
| attention11.compute_core.attn_fc_out                                                      |      6171.6 |            6171.6 |                15515.5 |        160 |                 95% |
| attention1.compute_core.attn_fc_out.lib_fc                                                |      6171.6 |            6171.6 |                15515.5 |        160 |                 95% |
| attention1.compute_core                                                                   |      6171.6 |            6171.6 |                15515.5 |       2550 |                 64% |
| attention11                                                                               |      6171.6 |            6171.6 |                15515.5 |       2625 |                 62% |
| attention9.compute_core.attn_fc_kv_proj.lib_fc                                            |      6171.6 |            6171.6 |                15515.5 |        320 |                 95% |
| attention1.compute_core.attn_fc_out                                                       |      6171.6 |            6171.6 |                15515.5 |        160 |                 95% |
| attention6.compute_core.attn_fc_kv_proj                                                   |      6171.6 |            6171.6 |                15515.5 |        320 |                 95% |
| attention6.compute_core.attn_fc_kv_proj.lib_fc                                            |      6171.6 |            6171.6 |                15515.5 |        320 |                 95% |
| attention9.compute_core.attn_fc_kv_proj                                                   |      6171.6 |            6171.6 |                15515.5 |        320 |                 95% |
| attention11.compute_core                                                                  |      6171.6 |            6171.6 |                15515.5 |       2550 |                 64% |
| attention3.compute_core.attn_fc_out                                                       |      6194.6 |            6194.6 |                17383.8 |        160 |                 95% |
| attention9.compute_core.attn_fc_q_proj                                                    |      6194.6 |            6194.6 |                17383.8 |        160 |                 95% |
| attention16.compute_core.attn_fc_out.lib_fc                                               |      6194.6 |            6194.6 |                17383.8 |        160 |                 95% |
| attention16.compute_core.attn_fc_out                                                      |      6194.6 |            6194.6 |                17383.8 |        160 |                 95% |
| attention5                                                                                |      6194.6 |            6194.6 |                17383.8 |       2220 |                 60% |
| attention10.compute_core.attn_fc_out.lib_fc                                               |      6194.6 |            6194.6 |                17383.8 |        160 |                 95% |
| attention4.compute_core.attn_fc_out.lib_fc                                                |      6194.6 |            6194.6 |                17383.8 |        160 |                 95% |
